Trial Number,value now,Delay,Value later,Value later delay,Response,reaction time,SubID,Cond
24,20,0,21.6,6,0,2.0175,34,1
25,20,0,26.6,29,1,6.1726,34,1
26,20,0,30,15,1,1.6972,34,1
27,20,0,46,15,1,3.005,34,1
28,20,0,30,29,1,1.6315,34,1
29,20,0,21.6,15,0,2.3498,34,1
30,20,0,36.6,62,1,4.8146,34,1
31,20,0,76,2,1,2.2024,34,1
32,20,0,24,62,1,3.776,34,1
33,20,0,21.6,118,0,1.3574,34,1
34,20,0,34,62,1,9.7579,34,1
35,20,0,50,15,1,2.101,34,1
36,20,0,29.4,62,0,3.6025,34,1
37,20,0,24,29,0,4.2801,34,1
38,20,0,24,15,1,1.7633,34,1
39,20,0,76,15,1,2.2386,34,1
40,20,0,24,29,0,3.949,34,1
41,20,0,20.4,2,0,2.1726,34,1
42,20,0,21.6,29,0,3.7438,34,1
43,20,0,56,29,1,3.0931,34,1
44,20,0,46,29,1,1.3499,34,1
45,20,0,56,2,1,1.3181,34,1
46,20,0,76,118,1,1.2855,34,1
47,20,0,30,62,1,1.7514,34,1
48,20,0,36.6,2,1,1.4273,34,1
49,20,0,29.4,6,1,1.3561,34,1
50,20,0,62,15,1,2.2696,34,1
51,20,0,26.6,118,0,2.2534,34,1
52,20,0,62,2,1,1.9418,34,1
53,20,0,20.4,118,0,2.2024,34,1
54,20,0,29.4,2,1,7.7025,34,1
55,20,0,20.4,6,0,2.1285,34,1
56,20,0,30,2,1,5.2186,34,1
57,20,0,29.4,118,0,3.0165,34,1
58,20,0,50,6,1,1.2034,34,1
59,20,0,36.6,15,1,1.1962,34,1
60,20,0,26.6,6,1,2.8828,34,1
61,20,0,21.6,62,0,2.2024,34,1
62,20,0,30,6,1,8.3611,34,1
63,20,0,41.4,118,0,2.8101,34,1
64,20,0,34,2,1,1.3329,34,1
65,20,0,34,29,1,2.7035,34,1
66,20,0,46,118,1,3.013,34,1
67,20,0,24,2,1,1.5932,34,1
68,20,0,56,6,1,1.1381,34,1
69,20,0,70,6,1,1.1124,34,1
70,20,0,70,15,1,1.3093,34,1
71,20,0,24,62,0,1.5499,34,1
72,20,0,62,6,1,2.7959,34,1
73,20,0,76,6,1,1.149,34,1
74,20,0,50,29,1,2.7326,34,1
75,20,0,56,15,1,1.6193,34,1
76,20,0,24,118,0,4.4254,34,1
77,20,0,34,15,1,3.1848,34,1
78,20,0,24,15,1,4.9804,34,1
79,20,0,29.4,29,1,3.2379,34,1
80,20,0,21.6,2,0,1.1597,34,1
81,20,0,36.6,29,1,4.0243,34,1
82,20,0,56,118,1,3.1915,34,1
83,20,0,62,118,1,1.7684,34,1
84,20,0,24,6,1,1.441,34,1
85,20,0,56,62,1,1.5635,34,1
86,20,0,34,6,1,1.2273,34,1
87,20,0,70,118,1,2.134,34,1
88,20,0,70,2,1,1.0099,34,1
89,20,0,20.4,29,0,1.6791,34,1
90,20,0,76,62,1,1.6778,34,1
91,20,0,24,118,0,4.2646,34,1
92,20,0,50,2,1,2.2412,34,1
93,20,0,70,62,1,1.3575,34,1
94,20,0,41.4,2,1,1.4015,34,1
95,20,0,26.6,2,1,1.5496,34,1
96,20,0,34,118,1,1.2502,34,1
1,20,0,21.6,30,0,1.4155,26,1
2,20,0,35,14,1,1.1664,26,1
3,20,0,71,60,0,1.1443,26,1
4,20,0,27.4,30,0,1.4506,26,1
5,20,0,28.6,8,1,1.1603,26,1
6,20,0,60,14,1,1.8429,26,1
7,20,0,21.6,120,0,1.3453,26,1
8,20,0,27.4,3,1,1.193,26,1
9,20,0,60,8,1,1.8291,26,1
10,20,0,25,3,1,1.0613,26,1
11,20,0,21.6,8,0,1.2396,26,1
12,20,0,21.6,3,1,0.8489,26,1
13,20,0,47,60,0,1.5321,26,1
14,20,0,32,3,1,1.0591,26,1
15,20,0,36.2,14,0,1.7741,26,1
16,20,0,75,14,0,1.1367,26,1
17,20,0,40.6,14,0,1.0975,26,1
18,20,0,21.6,14,0,1.2979,26,1
19,20,0,25,60,0,1.2738,26,1
20,20,0,25,120,0,0.886,26,1
21,20,0,58,120,0,0.9957,26,1
22,20,0,47,3,1,0.7857,26,1
23,20,0,28.6,120,0,0.9138,26,1
24,20,0,40.6,8,0,1.1435,26,1
25,20,0,75,8,1,1.3217,26,1
26,20,0,71,14,0,0.9734,26,1
27,20,0,49,3,0,1.3895,26,1
28,20,0,40.6,120,0,0.9544,26,1
29,20,0,36.2,30,0,1.2758,26,1
30,20,0,49,8,1,1.2941,26,1
31,20,0,49,120,0,1.3481,26,1
32,20,0,20.6,120,0,0.9811,26,1
33,20,0,71,8,1,1.1617,26,1
34,20,0,23,3,0,0.8093,26,1
35,20,0,49,14,0,0.8352,26,1
36,20,0,23,120,0,0.982,26,1
37,20,0,60,60,0,0.9872,26,1
38,20,0,20.6,30,0,1.3449,26,1
39,20,0,49,30,0,1.1285,26,1
40,20,0,60,3,1,0.8687,26,1
41,20,0,58,30,0,0.7082,26,1
42,20,0,27.4,120,0,0.955,26,1
43,20,0,35,30,0,0.8132,26,1
44,20,0,75,120,0,0.8336,26,1
45,20,0,36.2,8,1,1.6796,26,1
46,20,0,58,8,1,1.2683,26,1
47,20,0,36.2,60,0,1.1072,26,1
48,20,0,49,60,0,1.2945,26,1
49,20,0,27.4,14,0,1.3994,26,1
50,20,0,75,30,0,0.9852,26,1
51,20,0,27.4,8,1,0.9351,26,1
52,20,0,32,8,1,0.7811,26,1
53,20,0,40.6,30,0,0.9549,26,1
54,20,0,28.6,30,0,0.82,26,1
55,20,0,20.6,3,0,0.8363,26,1
56,20,0,27.4,60,0,1.0363,26,1
57,20,0,58,3,1,1.0873,26,1
58,20,0,35,8,1,1.2294,26,1
59,20,0,60,120,0,0.9093,26,1
60,20,0,35,60,0,0.8516,26,1
61,20,0,36.2,3,1,1.4781,26,1
62,20,0,23,14,0,1.1733,26,1
63,20,0,47,30,0,1.0732,26,1
64,20,0,35,3,1,0.7455,26,1
65,20,0,23,30,0,1.2766,26,1
66,20,0,35,120,0,0.841,26,1
67,20,0,25,30,0,1.3307,26,1
68,20,0,71,30,0,0.9902,26,1
69,20,0,23,8,1,0.9457,26,1
70,20,0,40.6,3,0,0.8547,26,1
71,20,0,75,60,0,1.0324,26,1
72,20,0,28.6,60,0,1.0341,26,1
73,20,0,36.2,120,0,1.2458,26,1
74,20,0,25,8,1,0.761,26,1
75,20,0,28.6,14,1,1.6563,26,1
76,20,0,71,120,0,1.0825,26,1
77,20,0,21.6,60,0,1.1112,26,1
78,20,0,32,14,0,1.5431,26,1
79,20,0,32,120,0,1.3064,26,1
80,20,0,20.6,8,0,1.7602,26,1
81,20,0,47,120,0,1.0434,26,1
82,20,0,47,14,1,1.172,26,1
83,20,0,58,60,0,1.2141,26,1
84,20,0,58,14,1,1.1344,26,1
85,20,0,20.6,60,0,1.1942,26,1
86,20,0,20.6,14,0,1.344,26,1
87,20,0,40.6,60,0,1.5801,26,1
88,20,0,32,30,0,1.6766,26,1
89,20,0,47,8,1,0.7428,26,1
90,20,0,32,60,0,0.8274,26,1
91,20,0,25,14,1,1.5082,26,1
92,20,0,28.6,3,0,1.23,26,1
93,20,0,23,60,0,1.1834,26,1
94,20,0,71,3,1,1.456,26,1
95,20,0,75,3,1,0.6919,26,1
96,20,0,60,30,0,1.0441,26,1
1,20,0,26.6,118,0,1.7964,2,1
2,20,0,34,29,1,2.0775,2,1
3,20,0,76,2,1,1.2536,2,1
4,20,0,21.6,118,0,1.7897,2,1
5,20,0,70,62,1,1.5357,2,1
6,20,0,50,118,1,2.464,2,1
7,20,0,21.6,6,0,2.7226,2,1
8,20,0,26.6,2,1,2.346,2,1
9,20,0,70,118,1,2.3905,2,1
10,20,0,46,2,1,1.2596,2,1
11,20,0,56,15,1,1.4248,2,1
12,20,0,70,2,1,1.4508,2,1
13,20,0,26.6,29,1,2.1198,2,1
14,20,0,34,2,1,1.5239,2,1
15,20,0,36.6,29,1,1.9441,2,1
16,20,0,76,29,1,1.0606,2,1
17,20,0,24,6,1,2.2553,2,1
18,20,0,30,29,1,1.4382,2,1
19,20,0,56,118,1,4.0673,2,1
20,20,0,34,6,1,2.3358,2,1
21,20,0,46,15,1,0.9891,2,1
22,20,0,41.4,6,1,1.12,2,1
23,20,0,30,118,1,1.8978,2,1
24,20,0,50,15,1,1.0348,2,1
